chr	3utr_start	3utr_end	gene_name
chr1	101440774	101447309	SLC30A7
chr1	1017202	1018272	C1orf159
chr1	10364705	10368655	KIF1B
chr1	10364705	10368655	KIF1B
chr1	10364705	10368655	KIF1B
chr1	109852191	109856664	SORT1
chr1	110038489	110043055	CYB561D1
chr1	110038881	110041477	CYB561D1
chr1	110038397	110043062	CYB561D1
chr1	110046796	110050052	AMIGO1
chr1	110602615	110603354	ALX3
chr1	111214309	111215703	KCNA3
chr1	111441817	111442550	CD53
chr1	111726932	111727724	CEPT1
chr1	112255052	112259313	RAP1A
chr1	112255052	112259313	RAP1A
chr1	112309521	112310638	DDX20
chr1	11255080	11256038	ANGPTL7
chr1	113269302	113269857	FAM19A3
chr1	113269262	113269857	FAM19A3
chr1	113666723	113674882	LRIG2
chr1	113666723	113674882	LRIG2
chr1	114226636	114228545	MAGI3
chr1	114304453	114308601	RSBN1
chr1	114516134	114520426	HIPK1
chr1	114516134	114520426	HIPK1
chr1	116609729	116612675	SLC22A15
chr1	116609729	116612675	SLC22A15
chr1	117117030	117119933	IGSF3
chr1	117644146	117650075	TTF2
chr1	117653681	117654926	TRIM45
chr1	118166666	118170994	FAM46C
chr1	118166666	118170994	FAM46C
chr1	118406106	118413190	GDAP2
chr1	118406106	118413190	GDAP2
chr1	119573838	119575982	WARS2
chr1	119573843	119575533	WARS2
chr1	1263143	1264277	GLTPD1
chr1	1263143	1264277	GLTPD1
chr1	1263143	1264277	GLTPD1
chr1	1288070	1288983	MXRA8
chr1	1327667	1328161	CCNL2
chr1	1337287	1337462	MRPL20
chr1	145542278	145543868	ITGA10
chr1	145542278	145543868	ITGA10
chr1	145542278	145543868	ITGA10
chr1	145542278	145543868	ITGA10
chr1	145542278	145543868	ITGA10
chr1	145542278	145543868	ITGA10
chr1	147114033	147119224	ACP6
chr1	150445810	150449042	RPRD2
chr1	150547031	150549850	MCL1
chr1	150702671	150705521	CTSS
chr1	150936840	150937211	SETDB1
chr1	150936840	150937213	SETDB1
chr1	151104160	151104959	SEMA6C
chr1	151263685	151264656	ZNF687
chr1	151264272	151265327	PI4KB
chr1	151313115	151314661	RFX5
chr1	151554183	151556059	TUFT1
chr1	151666077	151671567	SNX27
chr1	151778546	151779947	RORC
chr1	151779432	151779947	RORC
chr1	152126070	152127219	RPTN
chr1	152126070	152127219	RPTN
chr1	152488159	152488486	CRCT1
chr1	153028588	153028992	SPRR2A
chr1	153391785	153395701	S100A7A
chr1	153777200	153782652	GATAD2B
chr1	154321594	154323783	ATP8B2
chr1	154437641	154439353	IL6R
chr1	154437856	154441926	IL6R
chr1	154437641	154439353	IL6R
chr1	154451956	154456624	SHE
chr1	154451956	154456624	SHE
chr1	154548408	154552502	CHRNB2
chr1	154548408	154552502	CHRNB2
chr1	154669930	154680451	KCNN3
chr1	154669930	154680451	KCNN3
chr1	155305845	155307450	ASH1L
chr1	155851299	155854990	SYT11
chr1	156776034	156776365	SH2D2A
chr1	156904631	156905791	ARHGEF11
chr1	157483166	157485464	FCRL5
chr1	157543538	157545313	FCRL4
chr1	157543538	157545313	FCRL4
chr1	157800703	157801753	CD5L
chr1	158227480	158228059	CD1A
chr1	158227480	158228059	CD1A
chr1	15986331	15995539	DDI2
chr1	15986331	15995539	DDI2
chr1	160183276	160185166	PEA15
chr1	160340923	160342638	NHLH1
chr1	160340923	160342638	NHLH1
